STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	115	5	5	2966369	2729533	40769	6	6	99.8974	0	0	0	0	0	0	0	0	0	0
9999	1	8	116	5	7	2966369	2729533	233865	16	14	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	117	5	9	2966369	2729533	37486	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	118	5	11	2966369	2729533	11180	2	2	96.0309	0	0	0	0	0	0	0	0	0	0
9999	1	8	119	5	13	2966369	2729533	5214	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	120	5	15	2966369	2729533	27843	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	121	5	17	2966369	2729533	11212	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	122	5	19	2966369	2729533	22670	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	123	5	21	2966369	2729533	15228	3	3	45.2259	0	0	0	0	0	0	0	0	0	0
9999	1	8	124	5	23	2966369	2729533	25586	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	125	5	25	2966369	2729533	8561	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	126	5	27	2966369	2729533	24002	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	127	5	29	2966369	2729533	21223	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	128	5	31	2966369	2729533	102617	9	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	129	5	33	2966369	2729533	61495	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	130	5	35	2966369	2729533	49401	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	131	5	37	2966369	2729533	17458	3	3	99.4878	0	0	0	0	0	0	0	0	0	0
9999	1	8	132	5	39	2966369	2729533	7892	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	133	5	41	2966369	2729533	8864	4	3	96.1079	0	0	0	0	0	0	0	0	0	0
9999	1	8	134	5	43	2966369	2729533	18795	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	135	5	45	2966369	2729533	120870	7	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	136	5	47	2966369	2729533	17993	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	137	5	49	2966369	2729533	12314	3	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	138	5	51	2966369	2729533	61536	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	139	5	53	2966369	2729533	18035	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	140	5	55	2966369	2729533	43284	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	141	5	57	2966369	2729533	22428	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	142	5	59	2966369	2729533	0	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	143	5	61	2966369	2729533	13508	4	4	95.9135	0	0	0	0	0	0	0	0	0	0
9999	1	8	144	5	63	2966369	2729533	37009	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	145	5	65	2966369	2729533	13279	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	146	5	67	2966369	2729533	17491	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	147	5	69	2966369	2729533	72125	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	148	5	71	2966369	2729533	25899	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	149	5	73	2966369	2729533	7153	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	150	5	75	2966369	2729533	16874	5	5	99.6854	0	0	0	0	0	0	0	0	0	0
9999	1	8	151	5	77	2966369	2729533	9916	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	152	5	79	2966369	2729533	14008	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	153	5	81	2966369	2729533	12620	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	154	5	83	2966369	2729533	7449	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	155	5	85	2966369	2729533	71207	7	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	156	5	87	2966369	2729533	15690	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	157	5	89	2966369	2729533	16362	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	158	5	91	2966369	2729533	43329	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	159	5	93	2966369	2729533	44330	8	8	98.3758	0	0	0	0	0	0	0	0	0	0
9999	1	8	160	5	95	2966369	2729533	7569	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	161	5	97	2966369	2729533	9153	1	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	162	5	99	2966369	2729533	8749	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	163	5	101	2966369	2729533	7992	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	164	5	103	2966369	2729533	12462	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	165	5	105	2966369	2729533	10311	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	166	5	107	2966369	2729533	12494	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	167	5	109	2966369	2729533	11141	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	168	5	111	2966369	2729533	21516	7	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	169	5	113	2966369	2729533	20318	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	170	5	115	2966369	2729533	62598	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	171	5	117	2966369	2729533	8286	4	4	94.3278	0	0	0	0	0	0	0	0	0	0
9999	1	8	172	5	119	2966369	2729533	392877	12	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	173	5	121	2966369	2729533	17611	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	174	5	123	2966369	2729533	10003	4	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	175	5	125	2966369	2729533	116060	4	4	82.7348	0	0	0	0	0	0	0	0	0	0
9999	1	8	176	5	127	2966369	2729533	10456	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	177	5	129	2966369	2729533	7975	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	178	5	131	2966369	2729533	126886	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	179	5	133	2966369	2729533	17407	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	180	5	135	2966369	2729533	8291	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	181	5	137	2966369	2729533	12610	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	182	5	139	2966369	2729533	40436	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	183	5	141	2966369	2729533	16826	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	184	5	143	2966369	2729533	150061	11	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	185	5	145	2966369	2729533	54721	12	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	186	5	147	2966369	2729533	7022	3	3	89.7987	0	0	0	0	0	0	0	0	0	0
9999	1	8	187	5	149	2966369	2729533	21805	5	5	97.2529	0	0	0	0	0	0	0	0	0	0
9999	1	8	188	6	1	38802500	38795537	1604587	26	22	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	189	6	3	38802500	38795537	1166	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	190	6	5	38802500	38795537	36395	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	191	6	7	38802500	38795537	223878	13	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	192	6	9	38802500	38795537	44526	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	193	6	11	38802500	38795537	21452	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	194	6	13	38802500	38795537	1111006	30	26	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	195	6	15	38802500	38795537	27854	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	196	6	17	38802500	38795537	182893	7	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	197	6	19	38802500	38795537	966353	24	21	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	198	6	21	38802500	38795537	28055	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	199	6	23	38802500	38795537	135111	11	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	200	6	25	38802500	38795537	171069	12	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	201	6	27	38802500	38795537	18553	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	202	6	29	38802500	38795537	874650	18	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	203	6	31	38802500	38795537	151437	10	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	204	6	33	38802500	38795537	63990	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	205	6	35	38802500	38795537	31705	6	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	206	6	37	38802500	38795537	10121502	108	102	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	207	6	39	38802500	38795537	153544	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	208	6	41	38802500	38795537	261200	15	14	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	209	6	43	38802500	38795537	17729	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	210	6	45	38802500	38795537	87534	8	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	211	6	47	38802500	38795537	266350	13	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	212	6	49	38802500	38795537	9063	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	213	6	51	38802500	38795537	14107	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	214	6	53	38802500	38795537	434416	19	18	100	0	0	0	0	0	0	0	0	0	0
